height_range_id,mean_diameter,diameter_range,diameter_standard_dev,diameter_CV,number_of_samples
0,5.407009345794393,55,8.110499913961675,149.99973913990135,214
1,3.917364298405866,86,2.2793724039044534,58.186378142875874,39959
2,8.37634317395631,435,5.987272774837442,71.47836055061647,42206
3,14.641436119663968,141,7.601208393849925,51.91572965742911,26307
4,16.5627072576717,316,7.034131148874286,42.46969435275225,20530
5,22.824920124251165,98,7.163669746694646,31.385300398415612,9014
6,27.26864292589028,99,7.111473466028949,26.07930832992405,5195
7,30.77524943820225,72.5,7.458008583752405,24.233787604965933,2225
8,33.25081769436997,96,8.27335008399606,24.881643994568304,746
9,34.789408866995075,65,9.691060678510606,27.85635339640558,203
10,34.145833333333336,47,15.27492684602827,44.73438002497602,12
